Serial Number,Name,Symptoms
517,Cyclospora infection,"Frequent, watery diarrhea,Bouts of diarrhea alternating with bouts of constipation,Loss of appetite and weight loss,Bloating, flatulence and burping,Stomach cramps,Nausea and vomiting,Muscle aches,Fever,Fatigue — this symptom may last long after the active infection has gotten better,General feeling of unwellness (malaise),"
518,Benign adrenal tumors,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
519,Miscarriage,"Vaginal spotting or bleeding,Pain or cramping in your abdomen or lower back,Fluid or tissue passing from your vagina,"
520,Tonsillitis,"Red, swollen tonsils,White or yellow coating or patches on the tonsils,Sore throat,Difficult or painful swallowing,Fever,Enlarged, tender glands (lymph nodes) in the neck,A scratchy, muffled or throaty voice,Bad breath,Stomachache, particularly in younger children,Stiff neck,Headache,"
521,Lazy eye (amblyopia),"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
522,Hunter syndrome,"An enlarged head,Thickening of the lips,A broad nose and flared nostrils,A protruding tongue,A deep, hoarse voice,Abnormal bone size or shape and other skeletal irregularities,A distended abdomen, as a result of enlarged internal organs,Chronic diarrhea,White skin growths that resemble pebbles,Joint stiffness,Aggressive behavior,Stunted growth,Delayed development, such as late walking or talking,"
523,Agoraphobia,"Leaving home alone,Crowds or waiting in line,Enclosed spaces, such as movie theaters, elevators or small stores,Open spaces, such as parking lots, bridges or malls,Using public transportation, such as a bus, plane or train,"
524,Ebstein anomaly,"Shortness of breath, especially with exertion,Fatigue,Heart palpitations or abnormal heart rhythms (arrhythmias),A bluish discoloration of the lips and skin caused by low oxygen (cyanosis),"
525,Flatfeet,"Obesity,Injury to your foot or ankle,Rheumatoid arthritis,Aging,Diabetes,"
526,Glomerulonephritis,"Pink or cola-colored urine from red blood cells in your urine (hematuria),Foamy urine due to excess protein (proteinuria),High blood pressure (hypertension),Fluid retention (edema) with swelling evident in your face, hands, feet and abdomen,"
527,Ehrlichiosis,"Mild fever,Headache,Chills,Muscle aches,Nausea,Vomiting,Diarrhea,Fatigue,Loss of appetite,Joint pain,Confusion,Rash,Cough,"
528,Hip fracture,"Inability to get up from a fall or to walk,Severe pain in your hip or groin,Inability to put weight on your leg on the side of your injured hip,Bruising and swelling in and around your hip area,Shorter leg on the side of your injured hip,Outward turning of your leg on the side of your injured hip,"
529,Small vessel disease,"Chest pain, squeezing or discomfort (angina), which may worsen during daily activities and times of stress,Discomfort in your left arm, jaw, neck, back or abdomen associated with chest pain,Shortness of breath,Tiredness and lack of energy,"
530,Delirium,"An inability to stay focused on a topic or to switch topics,Getting stuck on an idea rather than responding to questions or conversation,Being easily distracted by unimportant things,Being withdrawn, with little or no activity or little response to the environment,"
531,Brain tumor,"
Ablation therapy
,
Acupuncture
,
Brain stereotactic radiosurgery
,
Chemotherapy
,
CT scan
,
Hypnosis
,
Meditation
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,
Radiation therapy
,
Stereotactic radiosurgery
,"
532,Hydrocele,"Injury or inflammation to the scrotum,Infection, including a sexually transmitted infection (STI),"
533,Long QT syndrome,"Results of an electrocardiogram (ECG) done for an unrelated reason,A family history of long QT syndrome,Genetic testing results,"
534,Dementia,"Memory loss, which is usually noticed by a spouse or someone else,Difficulty communicating or finding words,Difficulty with visual and spatial abilities, such as getting lost while driving,Difficulty reasoning or problem-solving,Difficulty handling complex tasks,Difficulty with planning and organizing,Difficulty with coordination and motor functions,Confusion and disorientation,"
535,Body lice,"War refugees,Homeless people,Victims of natural disasters,"
536,Bronchiolitis,"Runny nose,Stuffy nose,Cough,Slight fever (not always present),"
537,Breast cancer,"A breast lump or thickening that feels different from the surrounding tissue,Change in the size, shape or appearance of a breast,Changes to the skin over the breast, such as dimpling,A newly inverted nipple,Peeling, scaling, crusting or flaking of the pigmented area of skin surrounding the nipple (areola) or breast skin,Redness or pitting of the skin over your breast, like the skin of an orange,"
538,Heart murmurs,"Skin that appears blue, especially on your fingertips and lips,Swelling or sudden weight gain,Shortness of breath,Chronic cough,Enlarged liver,Enlarged neck veins,Poor appetite and failure to grow normally (in infants),Heavy sweating with minimal or no exertion,Chest pain,Dizziness,Fainting,"
539,Wolff-Parkinson-White (WPW) syndrome,"A rapid, fluttering or pounding heartbeat (palpitations),Dizziness or lightheadedness,Shortness of breath,Fatigue,Anxiety,Chest pain,Difficulty breathing,Fainting,"
540,Hyperhidrosis,"Sweating disrupts your daily routine,Sweating causes emotional distress or social withdrawal,You suddenly begin to sweat more than usual,You experience night sweats for no apparent reason,"
541,Intracranial hematoma,"Increasing headache,Vomiting,Drowsiness and progressive loss of consciousness,Dizziness,Confusion,Unequal pupil size,Slurred speech,Loss of movement (paralysis) on the opposite side of the body from the head injury,"
542,Legionnaires' disease,"Headache,Muscle aches,Fever that may be 104 F (40 C) or higher,"
543,Suspicious breast lumps,"A round, smooth and firm breast lump,A large, solid-feeling lump that moves easily under your skin,A hard, irregular-shaped breast lump,Skin redness or dimpling like an orange,Changes in breast size or shape,Fluid leaking from your nipple,"
544,Yellow fever,"Fever,Headache,Muscle aches, particularly in your back and knees,Sensitivity to light,Nausea, vomiting or both,Loss of appetite,Dizziness,Red eyes, face or tongue,"
545,Dizziness,"A false sense of motion or spinning (vertigo),Lightheadedness or feeling faint,Unsteadiness or a loss of balance,A feeling of floating, wooziness or heavy-headedness,"
546,Dural arteriovenous fistulas,"Sudden, severe headache,Nausea,Vomiting,Weakness or numbness on one side of the body,Difficulties in speaking or understanding speech,Loss of vision,Double vision,Balance difficulties,"
547,Tension headache,"Dull, aching head pain,Sensation of tightness or pressure across your forehead or on the sides and back of your head,Tenderness on your scalp, neck and shoulder muscles,"
548,Hepatitis A,"Fatigue,Sudden nausea and vomiting,Abdominal pain or discomfort, especially on the upper right side beneath your lower ribs (by your liver),Clay-colored bowel movements,Loss of appetite,Low-grade fever,Dark urine,Joint pain,Yellowing of the skin and the whites of your eyes (jaundice),Intense itching,"
549,Cholera,"Diarrhea. Cholera-related diarrhea comes on suddenly and can quickly cause dangerous fluid loss — as much as a quart (about 1 liter) an hour. Diarrhea due to cholera often has a pale, milky appearance that resembles water in which rice has been rinsed.,Nausea and vomiting. Vomiting occurs especially in the early stages of cholera and can last for hours.,Dehydration. Dehydration can develop within hours after cholera symptoms start and range from mild to severe. A loss of 10% or more of body weight indicates severe dehydration.
Signs and symptoms of cholera dehydration include irritability, fatigue, sunken eyes, a dry mouth, extreme thirst, dry and shriveled skin that's slow to bounce back when pinched into a fold, little or no urinating, low blood pressure, and an irregular heartbeat.
,"
550,Perimenopause,"Irregular periods. As ovulation becomes more unpredictable, the length of time between periods may be longer or shorter, your flow may be light to heavy, and you may skip some periods. If you have a persistent change of seven days or more in the length of your menstrual cycle, you may be in early perimenopause. If you have a space of 60 days or more between periods, you're likely in late perimenopause.,Hot flashes and sleep problems. Hot flashes are common during perimenopause. The intensity, length and frequency vary. Sleep problems are often due to hot flashes or night sweats, but sometimes sleep becomes unpredictable even without them.,Mood changes. Mood swings, irritability or increased risk of depression may happen during perimenopause. The cause of these symptoms may be sleep disruption associated with hot flashes. Mood changes may also be caused by factors not related to the hormonal changes of perimenopause.,Vaginal and bladder problems. When estrogen levels diminish, your vaginal tissues may lose lubrication and elasticity, making intercourse painful. Low estrogen may also leave you more vulnerable to urinary or vaginal infections. Loss of tissue tone may contribute to urinary incontinence.,Decreasing fertility. As ovulation becomes irregular, your ability to conceive decreases. However, as long as you're having periods, pregnancy is still possible. If you wish to avoid pregnancy, use birth control until you've had no periods for 12 months.,Changes in sexual function. During perimenopause, sexual arousal and desire may change. But if you had satisfactory sexual intimacy before menopause, this will likely continue through perimenopause and beyond.,Loss of bone. With declining estrogen levels, you start to lose bone more quickly than you replace it, increasing your risk of osteoporosis — a disease that causes fragile bones.,Changing cholesterol levels. Declining estrogen levels may lead to unfavorable changes in your blood cholesterol levels, including an increase in low-density lipoprotein (LDL) cholesterol — the ""bad"" cholesterol — which contributes to an increased risk of heart disease. At the same time, high-density lipoprotein (HDL) cholesterol — the ""good"" cholesterol — decreases in many women as they age, which also increases the risk of heart disease.,"
551,Intestinal obstruction,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
552,Parvovirus infection,"Fever,Upset stomach,Headache,Runny nose,"
553,Atopic dermatitis (eczema),"Dry skin,Itching, which may be severe, especially at night,Red to brownish-gray patches, especially on the hands, feet, ankles, wrists, neck, upper chest, eyelids, inside the bend of the elbows and knees, and in infants, the face and scalp,Small, raised bumps, which may leak fluid and crust over when scratched,Thickened, cracked, scaly skin,Raw, sensitive, swollen skin from scratching,"
554,Nonalcoholic fatty liver disease,"Fatigue,Pain or discomfort in the upper right abdomen,"
555,Sepsis,"Change in mental status,A first (upper) number in a blood pressure reading — also called the systolic pressure — that's less than or equal to 100 millimeters of mercury (mm Hg),Respiratory rate higher than or equal to 22 breaths a minute,"
556,Amnesia,"Difficulty learning new information following the onset of amnesia (anterograde amnesia),Difficulty remembering past events and previously familiar information (retrograde amnesia),"
557,Giant cell arteritis,"Persistent, severe head pain, usually in your temple area,Scalp tenderness,Jaw pain when you chew or open your mouth wide,Fever,Fatigue,Unintended weight loss,Vision loss or double vision, particularly in people who also have jaw pain,Sudden, permanent loss of vision in one eye,"
558,Knee bursitis,"Frequent and sustained pressure, such as from kneeling, especially on hard surfaces,Overuse or strenuous activity,A direct blow to your knee,Bacterial infection of the bursa,Complications from osteoarthritis, rheumatoid arthritis or gout in your knee,"
559,Claudication,"Pain, ache, discomfort or fatigue in muscles every time you use those muscles,Pain in the calves, thighs, buttocks, hips or feet,Less often, pain in shoulders, biceps and forearms,Pain that gets better soon after resting,"
560,Tularemia,"A skin ulcer that forms at the site of infection — usually an insect or animal bite,Swollen and painful lymph glands,Fever,Chills,Headache,Exhaustion,"
561,Plantar fasciitis,"Age. Plantar fasciitis is most common between the ages of 40 and 60.,Certain types of exercise. Activities that place a lot of stress on your heel and attached tissue — such as long-distance running, ballet dancing and aerobic dance — can contribute to the onset of plantar fasciitis.,Foot mechanics. Flat feet, a high arch or even an abnormal pattern of walking can affect the way weight is distributed when you're standing and can put added stress on the plantar fascia.,Obesity. Excess pounds put extra stress on your plantar fascia.,Occupations that keep you on your feet. Factory workers, teachers and others who spend most of their work hours walking or standing on hard surfaces can damage the plantar fascia.,"
562,Exercise-induced asthma,"Coughing,Wheezing,Shortness of breath,Chest tightness or pain,Fatigue during exercise,Poorer than expected athletic performance,Avoidance of activity (a sign primarily among young children),"
563,Lactose intolerance,"Diarrhea,Nausea, and sometimes, vomiting,Stomach cramps,Bloating,Gas,"
564,Dehydration,"Dry mouth and tongue,No tears when crying,No wet diapers for three hours,Sunken eyes, cheeks,Sunken soft spot on top of skull,Listlessness or irritability,"
565,Posterior cortical atrophy,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
566,Sacroiliitis,"Prolonged standing,Bearing more weight on one leg than the other,Stair climbing,Running,Taking large strides,"
567,Epiglottitis,"Fever,Severe sore throat,Abnormal, high-pitched sound when breathing in (stridor),Difficult and painful swallowing,Drooling,Anxious, restless behavior,Feeling better when sitting up or leaning forward,"
568,Cavernous malformations,"Sudden, severe headache,Nausea,Vomiting,Weakness or numbness on one side of the body,Difficulties in speaking or understanding speech,Loss of vision,Double vision,Balance difficulties ,"
569,Sjogren's syndrome,"Dry eyes. Your eyes might burn, itch or feel gritty — as if there's sand in them.,Dry mouth. Your mouth might feel like it's full of cotton, making it difficult to swallow or speak.,"
570,Hashimoto's disease,"Fatigue and sluggishness,Increased sensitivity to cold,Constipation,Pale, dry skin,A puffy face,Brittle nails,Hair loss,Enlargement of the tongue,Unexplained weight gain,Muscle aches, tenderness and stiffness,Joint pain and stiffness,Muscle weakness,Excessive or prolonged menstrual bleeding ,Depression,Memory lapses,"
571,Mammary duct ectasia,"A dirty white, greenish or black nipple discharge from one or both nipples,Tenderness in the nipple or surrounding breast tissue (areola),Redness of the nipple and areolar tissue,A breast lump or thickening near the clogged duct,A nipple that's turned inward (inverted),"
572,Gastrointestinal bleeding,"Vomiting blood, which might be red or might be dark brown and resemble coffee grounds in texture,Black, tarry stool,Rectal bleeding, usually in or with stool,"
573,Membranous nephropathy,"Swelling in the legs and ankles,Weight gain,Fatigue,Poor appetite,Urine that looks foamy,High cholesterol,Increased protein in the urine (proteinuria),Decreased protein in the blood, particularly albumin,"
574,Nonmelanoma skin cancer,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
575,Post-concussion syndrome,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
576,Chronic traumatic encephalopathy,"Difficulty thinking (cognitive impairment),Impulsive behavior,Depression or apathy,Short-term memory loss,Difficulty planning and carrying out tasks (executive function),Emotional instability,Substance misuse,Suicidal thoughts or behavior,"
577,Benign peripheral nerve tumor,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
578,Painful intercourse (dyspareunia),"Pain only at sexual entry (penetration),Pain with every penetration, including putting in a tampon,Deep pain during thrusting,Burning pain or aching pain,Throbbing pain, lasting hours after intercourse,"
579,Common cold,"Runny or stuffy nose,Sore throat,Cough,Congestion,Slight body aches or a mild headache,Sneezing,Low-grade fever,Generally feeling unwell (malaise),"
580,Congenital adrenal hyperplasia,"Appearance of pubic hair at a very early age,Rapid growth during childhood, but shorter than average final height,"
581,Oppositional defiant disorder (ODD),"Symptoms & causes,Diagnosis & treatment,"
582,Systemic capillary leak syndrome,"Irritability,Fatigue,Abdominal pain,Nausea,Muscle aches,Increased thirst,Sudden increase in body weight,"
583,Uterine polyps,"
Dilation and curettage (D&C)
,"
584,Pectus excavatum,"Decreased exercise tolerance,Rapid heartbeat or heart palpitations,Recurrent respiratory infections,Wheezing or coughing,Chest pain,Heart murmur,Fatigue,Dizziness,"
585,Pyloric stenosis,"Vomiting after feeding. The baby may vomit forcefully, ejecting breast milk or formula up to several feet away (projectile vomiting). Vomiting might be mild at first and gradually become more severe as the pylorus opening narrows. The vomit may sometimes contain blood.,Persistent hunger. Babies who have pyloric stenosis often want to eat soon after vomiting.,Stomach contractions. You may notice wave-like contractions (peristalsis) that ripple across your baby's upper abdomen soon after feeding but before vomiting. This is caused by stomach muscles trying to force food through the narrowed pylorus.,Dehydration Your baby might cry without tears or become lethargic. You might find yourself changing fewer wet diapers or diapers that aren't as wet as you expect.,Changes in bowel movements. Since pyloric stenosis prevents food from reaching the intestines, babies with this condition might be constipated.,Weight problems. Pyloric stenosis can keep a baby from gaining weight, and sometimes can cause weight loss.,"
586,Sweating and body odor,"You suddenly begin to sweat much more or less than usual,Sweating disrupts your daily routine,You experience night sweats for no apparent reason,You notice a change in your body odor,"
587,Tricuspid valve regurgitation,"Fatigue,Declining exercise capacity,Swelling in your abdomen, legs or veins in your neck,Abnormal heart rhythms,Pulsing in your neck,Shortness of breath with activity,"
588,Gingivitis,"Swollen or puffy gums,Dusky red or dark red gums,Gums that bleed easily when you brush or floss,Bad breath,Receding gums,Tender gums,"
589,Nasal and paranasal tumors,"Difficulty breathing through your nose,Loss of the sense of smell,Nosebleeds,Discharge from your nose,Facial swelling or pain,Watery eyes,A sore or lesion on the roof of your mouth,Vision problems,A lump in your neck,Difficulty opening your mouth,"
590,Pemphigus,"Pemphigus vulgaris. This type usually begins with blisters in your mouth and then on your skin or genital mucous membranes. The blisters typically are painful but don't itch. Blisters in your mouth or throat may make it hard to swallow and eat.,Pemphigus foliaceus. This type causes blisters on the chest, back and shoulders. The blisters tend to be more itchy than painful. Pemphigus foliaceus doesn't cause mouth blisters.,"
591,Coronavirus disease 2019 (COVID-19),"Recent travel from or residence in an area with ongoing community spread of COVID-19 as determined by CDC or WHO,Close contact (within 6 feet, or 2 meters) with someone who has COVID-19 for more than 5 minutes or being coughed or sneezed on by an infected person,"
592,Diabetic hypoglycemia,"Shakiness,Dizziness,Sweating,Hunger,Fast heartbeat,Inability to concentrate,Confusion,Irritability or moodiness,Anxiety or nervousness,Headache,"
593,Aspergillosis,"Fever,A cough that may bring up blood or plugs of mucus,Worsening asthma,"
594,Chiari malformation,"Type I,Type II,"
595,Soft tissue sarcoma,"
Chemotherapy
,
CT scan
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,
Radiation therapy
,
Ultrasound
,
X-ray
,"
596,TMJ disorders,"Pain or tenderness of your jaw,Pain in one or both of the temporomandibular joints,Aching pain in and around your ear,Difficulty chewing or pain while chewing,Aching facial pain,Locking of the joint, making it difficult to open or close your mouth,"
597,Orchitis,"Swelling in one or both testicles,Pain ranging from mild to severe,Fever,Nausea and vomiting,General feeling of unwellness (malaise),"
598,Prostate cancer,"Trouble urinating,Decreased force in the stream of urine,Blood in semen,Discomfort in the pelvic area,Bone pain,Erectile dysfunction,"
599,Sudden cardiac arrest,"Sudden collapse,No pulse,No breathing,Loss of consciousness,"
600,Nasal polyps,"A runny nose,Persistent stuffiness,Postnasal drip,Decreased or absent sense of smell,Loss of sense of taste,Facial pain or headache,Pain in your upper teeth,A sense of pressure over your forehead and face,Snoring,Frequent nosebleeds,"
601,Inguinal hernia,"A bulge in the area on either side of your pubic bone, which becomes more obvious when you're upright, especially if you cough or strain,A burning or aching sensation at the bulge,Pain or discomfort in your groin, especially when bending over, coughing or lifting,A heavy or dragging sensation in your groin,Weakness or pressure in your groin,Occasionally, pain and swelling around the testicles when the protruding intestine descends into the scrotum,"
602,Retrograde ejaculation,"Orgasms in which you ejaculate very little or no semen out of your penis (dry orgasms),Urine that is cloudy after orgasm because it contains semen,Inability to get a woman pregnant (male infertility),"
603,High blood pressure (hypertension),"Pulse pressure: An indicator of heart health?,"
604,Pseudogout,"Swollen,Warm,Severely painful,"
605,Nonallergic rhinitis,"Stuffy nose,Runny nose,Sneezing,Mucus (phlegm) in the throat (postnasal drip),Cough,"
606,Tendinitis,"Pain often described as a dull ache, especially when moving the affected limb or joint,Tenderness,Mild swelling,"
607,Adrenal cancer,"Weight gain,Muscle weakness,Pink or purple stretch marks on the skin,Hormone changes in women that might cause excess facial hair, hair loss on the head and irregular periods,Hormone changes in men that might cause enlarged breast tissue and shrinking testicles,Nausea,Vomiting,Abdominal bloating,Back pain,Fever,Loss of appetite,Loss of weight without trying,"
608,Pancreatitis,"Upper abdominal pain,Abdominal pain that radiates to your back,Abdominal pain that feels worse after eating,Fever,Rapid pulse,Nausea,Vomiting,Tenderness when touching the abdomen,"
609,Postpartum preeclampsia,"High blood pressure (hypertension) — 140/90 millimeters of mercury (mm Hg) or greater,Excess protein in your urine (proteinuria),Severe headaches,Changes in vision, including temporary loss of vision, blurred vision or light sensitivity,Upper abdominal pain, usually under the ribs on the right side,Decreased urination,"
610,Mitral valve prolapse,"A racing or irregular heartbeat (arrhythmia),Dizziness or lightheadedness,Difficulty breathing or shortness of breath, often during physical activity or when lying flat,Fatigue,"
611,Yips,"Older age,More experience playing golf,Tournament play,"
612,Brain metastases,"Headache, sometimes with vomiting or nausea,Mental changes, such as increasing memory problems,Seizures,Dizziness,"
613,Edema,"Swelling or puffiness of the tissue directly under your skin, especially in your legs or arms,Stretched or shiny skin,Skin that retains a dimple (pits), after being pressed for several seconds,Increased abdominal size,"
614,Stevens-Johnson syndrome,"Fever,A sore mouth and throat,Fatigue,Burning eyes,"
615,Myocardial ischemia,"Neck or jaw pain,Shoulder or arm pain,A fast heartbeat,Shortness of breath when you are physically active,Nausea and vomiting,Sweating,Fatigue,"
616,Cushing syndrome,"Weight gain and fatty tissue deposits, particularly around the midsection and upper back, in the face (moon face), and between the shoulders (buffalo hump),Pink or purple stretch marks (striae) on the skin of the abdomen, thighs, breasts and arms,Thinning, fragile skin that bruises easily,Slow healing of cuts, insect bites and infections,Acne,"
617,Attention-deficit/hyperactivity disorder (ADHD) in children,"Blood relatives, such as a parent or sibling, with ADHD or another mental health disorder,Exposure to environmental toxins — such as lead, found mainly in paint and pipes in older buildings,Maternal drug use, alcohol use or smoking during pregnancy,Premature birth,"
618,Multiple system atrophy (MSA),"Rigid muscles,Difficulty bending your arms and legs,Slow movement (bradykinesia),Tremors (rare in MSA compared with classic Parkinson's disease),Problems with posture and balance ,"
619,Pulmonary atresia,"
Cardiac ablation
,
Cardiac catheterization
,
Coronary angioplasty and stents
,
Echocardiogram
,
Electrocardiogram (ECG or EKG)
,
Pulmonary valve repair and replacement
,
X-ray
,"
620,Nicotine dependence,"You can't stop smoking. You've made one or more serious, but unsuccessful, attempts to stop.,You have withdrawal symptoms when you try to stop. Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea.,You keep smoking despite health problems. Even though you've developed health problems with your lungs or your heart, you haven't been able to stop.,You give up social activities. You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations.,"
621,Hair loss,"Gradual thinning on top of head. This is the most common type of hair loss, affecting people as they age. In men, hair often begins to recede at the hairline on the forehead. Women typically have a broadening of the part in their hair. An increasingly common hair loss pattern in older women is a receding hairline (frontal fibrosing alopecia).,Circular or patchy bald spots. Some people lose hair in circular or patchy bald spots on the scalp, beard or eyebrows. Your skin may become itchy or painful before the hair falls out.,Sudden loosening of hair. A physical or emotional shock can cause hair to loosen. Handfuls of hair may come out when combing or washing your hair or even after gentle tugging. This type of hair loss usually causes overall hair thinning but is temporary.,Full-body hair loss. Some conditions and medical treatments, such as chemotherapy for cancer, can result in the loss of hair all over your body. The hair usually grows back.,Patches of scaling that spread over the scalp. This is a sign of ringworm. It may be accompanied by broken hair, redness, swelling and, at times, oozing.,"
622,Ice cream headaches,"Sharp, stabbing pain in the forehead,Pain that peaks about 20 to 60 seconds after it begins and goes away in about the same time,Pain that rarely lasts longer than five minutes,"
623,Hemophilia,"Unexplained and excessive bleeding from cuts or injuries, or after surgery or dental work,Many large or deep bruises,Unusual bleeding after vaccinations,Pain, swelling or tightness in your joints,Blood in your urine or stool,Nosebleeds without a known cause,In infants, unexplained irritability,"
624,Vesicoureteral reflux,"
Urinalysis
,"
625,Takayasu's arteritis,"Fatigue,Unintended weight loss,Muscle and joint aches and pains,Mild fever, sometimes accompanied by night sweats,"
626,Periodontitis,"Swollen or puffy gums,Bright red, dusky red or purplish gums,Gums that feel tender when touched,Gums that bleed easily,Pink-tinged toothbrush after brushing,Spitting out blood when brushing or flossing your teeth,Bad breath,Pus between your teeth and gums,Loose teeth or loss of teeth,Painful chewing,New spaces developing between your teeth,Gums that pull away from your teeth (recede), making your teeth look longer than normal,A change in the way your teeth fit together when you bite,"
627,Soft tissue sarcoma,"
Chemotherapy
,
CT scan
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,
Radiation therapy
,
Ultrasound
,
X-ray
,"
628,Tapeworm infection,"Symptoms & causes,Diagnosis & treatment,"
629,Achilles tendon rupture,"The feeling of having been kicked in the calf,Pain, possibly severe, and swelling near the heel,An inability to bend the foot downward or ""push off"" the injured leg when walking,An inability to stand on the toes on the injured leg,A popping or snapping sound when the injury occurs,"
630,Tetralogy of Fallot,"A bluish coloration of the skin caused by blood low in oxygen (cyanosis),Shortness of breath and rapid breathing, especially during feeding or exercise,Loss of consciousness (fainting),Clubbing of fingers and toes — an abnormal, rounded shape of the nail bed,Poor weight gain,Tiring easily during play or exercise,Irritability,Prolonged crying,A heart murmur,"
631,Coma,"Closed eyes,Depressed brainstem reflexes, such as pupils not responding to light,No responses of limbs, except for reflex movements,No response to painful stimuli, except for reflex movements,Irregular breathing,"
632,High blood pressure in children,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
633,Ovarian hyperstimulation syndrome,"Mild to moderate abdominal pain,Abdominal bloating or increased waist size,Nausea,Vomiting,Diarrhea,Tenderness in the area of your ovaries,"
634,Zika virus,"Mild fever,Rash,Joint or muscle pain,"
635,Leukoplakia,"White or grayish in patches that can't be wiped away,Irregular or flat-textured,Thickened or hardened in areas,Along with raised, red lesions (speckled leukoplakia or erythroplakia), which are more likely to show precancerous changes,"
636,Syringomyelia,"Muscle weakness and wasting (atrophy),Loss of reflexes,Loss of sensitivity to pain and temperature,Headaches,Stiffness in your back, shoulders, arms and legs,Pain in your neck, arms and back,Spinal curvature (scoliosis),"
637,Fibroadenoma,"Round with distinct, smooth borders,Easily moved,Firm or rubbery,Painless,"
638,Invasive lobular carcinoma,"An area of thickening in part of the breast,A new area of fullness or swelling in the breast,A change in the texture or appearance of the skin over the breast, such as dimpling or thickening,A newly inverted nipple,"
639,Testicular torsion,"Sudden, severe pain in the scrotum — the loose bag of skin under your penis that contains the testicles,Swelling of the scrotum,Abdominal pain,Nausea and vomiting,A testicle that's positioned higher than normal or at an unusual angle,Frequent urination,Fever,"
640,Eating disorders,"Skipping meals or making excuses for not eating,Adopting an overly restrictive vegetarian diet,Excessive focus on healthy eating,Making own meals rather than eating what the family eats,Withdrawing from normal social activities,Persistent worry or complaining about being fat and talk of losing weight,Frequent checking in the mirror for perceived flaws,Repeatedly eating large amounts of sweets or high-fat foods,Use of dietary supplements, laxatives or herbal products for weight loss,Excessive exercise,Calluses on the knuckles from inducing vomiting,Problems with loss of tooth enamel that may be a sign of repeated vomiting,Leaving during meals to use the toilet,Eating much more food in a meal or snack than is considered normal,Expressing depression, disgust, shame or guilt about eating habits,Eating in secret,"
641,Carcinoma of unknown primary,"A lump that can be felt through the skin,Pain,Changes in bowel habits, such as new and persistent constipation or diarrhea,Frequent urination,Cough,Fever,Night sweats,Losing weight without trying,"
642,Insomnia,"Difficulty falling asleep at night,Waking up during the night,Waking up too early,Not feeling well-rested after a night's sleep,Daytime tiredness or sleepiness,Irritability, depression or anxiety,Difficulty paying attention, focusing on tasks or remembering,Increased errors or accidents,Ongoing worries about sleep,"
643,Lung cancer,"A new cough that doesn't go away,Coughing up blood, even a small amount,Shortness of breath,Chest pain,Hoarseness,Losing weight without trying,Bone pain,Headache,"
644,Sleep apnea,"Loud snoring,Episodes in which you stop breathing during sleep — which would be reported by another person,Gasping for air during sleep,Awakening with a dry mouth,Morning headache,Difficulty staying asleep (insomnia),Excessive daytime sleepiness (hypersomnia),Difficulty paying attention while awake,Irritability,"
645,Vesicoureteral reflux,"A strong, persistent urge to urinate,A burning sensation when urinating,The need to pass small amounts of urine frequently,Cloudy urine,Fever,Pain in your side (flank) or abdomen,"
646,Tinnitus,"Ringing,Buzzing,Roaring,Clicking,Hissing,Humming,"
647,Molar pregnancy,"Dark brown to bright red vaginal bleeding during the first trimester ,Severe nausea and vomiting,Sometimes vaginal passage of grapelike cysts,Pelvic pressure or pain,"
648,Premenstrual syndrome (PMS),"Tension or anxiety,Depressed mood,Crying spells,Mood swings and irritability or anger,Appetite changes and food cravings,Trouble falling asleep (insomnia),Social withdrawal,Poor concentration,Change in libido,"
649,Whiplash,"Neck pain and stiffness,Worsening of pain with neck movement,Loss of range of motion in the neck,Headaches, most often starting at the base of the skull,Tenderness or pain in the shoulder, upper back or arms,Tingling or numbness in the arms,Fatigue,Dizziness,"
650,Narcissistic personality disorder,"Have an exaggerated sense of self-importance,Have a sense of entitlement and require constant, excessive admiration,Expect to be recognized as superior even without achievements that warrant it,Exaggerate achievements and talents,Be preoccupied with fantasies about success, power, brilliance, beauty or the perfect mate,Believe they are superior and can only associate with equally special people,Monopolize conversations and belittle or look down on people they perceive as inferior,Expect special favors and unquestioning compliance with their expectations,Take advantage of others to get what they want,Have an inability or unwillingness to recognize the needs and feelings of others,Be envious of others and believe others envy them,Behave in an arrogant or haughty manner, coming across as conceited, boastful and pretentious,Insist on having the best of everything — for instance, the best car or office,"
651,Broken toe,"Pain,Swelling,Discoloration,"
